;v0.3.1395e1_chain8-4_Inc_Ligne_4All
Standard deviation of nb of solve for external context (avg) ;51.85255538543882;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;51.85255538543882;
Standard deviation of nb of solve for external context (max) ;51.85255538543882;
Standard deviation of total size of solve for external context (avg) ;379.1770694543645;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;379.1770694543645;
Standard deviation of total size of solve for external context (max) ;379.1770694543645;
Standard deviation of max size of solve for external context (avg) ;0.0;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;0.0;
Standard deviation of max size of solve for external context (max) ;0;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;4794930.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;4794930;
Product of nb of solve for covered manif. (max) ;4794930;
Product of total size of solve for covered manif. (avg) ;2.0364813315E11;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;203648133150;
Product of total size of solve for covered manif. (max) ;203648133150;
Product of max size of solve for covered manif. (avg) ;370000.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;370000;
Product of max size of solve for covered manif. (max) ;370000;
Product of min size of solve for covered manif. (avg) ;81.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;81;
Product of min size of solve for covered manif. (max) ;81;
Max of nb of solve for covered manif. (avg) ;59.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;59;
Max of nb of solve for covered manif. (max) ;59;
Max of total size of solve for covered manif. (avg) ;815.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;815;
Max of total size of solve for covered manif. (max) ;815;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;35.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;35;
Min of nb of solve for covered manif. (max) ;35;
Min of total size of solve for covered manif. (avg) ;510.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;510;
Min of total size of solve for covered manif. (max) ;510;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;191.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;191;
Sum of nb of solve for covered manif. (max) ;191;
Sum of total size of solve for covered manif. (avg) ;2725.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;2725;
Sum of total size of solve for covered manif. (max) ;2725;
Sum of max size of solve for covered manif. (avg) ;103.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;103;
Sum of max size of solve for covered manif. (max) ;103;
Sum of min size of solve for covered manif. (avg) ;12.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;12;
Sum of min size of solve for covered manif. (max) ;12;
Average of nb of solve for covered manif. (avg) ;47.75;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;47.75;
Average of nb of solve for covered manif. (max) ;47.75;
Average of total size of solve for covered manif. (avg) ;681.25;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;681.25;
Average of total size of solve for covered manif. (max) ;681.25;
Average of max size of solve for covered manif. (avg) ;25.75;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;25.75;
Average of max size of solve for covered manif. (max) ;25.75;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;9.364160400164021;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;9.364160400164021;
Standard deviation of nb of solve for covered manif. (max) ;9.364160400164021;
Standard deviation of total size of solve for covered manif. (avg) ;109.56362306897303;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;109.56362306897303;
Standard deviation of total size of solve for covered manif. (max) ;109.56362306897303;
