;v0.3.11e1_exEcai-2ag_Inc_Clique_2Summ
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;1;
Total size of  initLocalConv (max) ;1;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;1.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;1;
Nb of  acceptLocalConv (max) ;1;
Total size of  acceptLocalConv (avg) ;1.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;1;
Total size of  acceptLocalConv (max) ;1;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;2.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;2;
Nb of {Started} sent (max) ;2;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;0.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;0;
Nb of {Request} sent (max) ;0;
Total size of {Request} sent (avg) ;17.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;17;
Total size of {Request} sent (max) ;17;
Global Max size of {Propose} sent (avg) ;33.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;33;
Global Max size of {Propose} sent (max) ;33;
Nb of {Propose} sent (avg) ;4.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;4;
Nb of {Propose} sent (max) ;4;
Total size of {Propose} sent (avg) ;79.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;79;
Total size of {Propose} sent (max) ;79;
Global Max size of {Check Context} sent (avg) ;53.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;53;
Global Max size of {Check Context} sent (max) ;53;
Nb of {Check Context} sent (avg) ;2.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;2;
